bmrb_id,pdb_id
4023,1spz
4023,2spz
4023,1q2n
4052,1joo
4053,1joo
4053,1joq
4053,1snc
4088,1alp
4089,2def
4090,2ezh
4114,1a5j
4120,1a60
4129,1q80
4141,1nk2
4147,1h95
4153,1rxr
4155,1eot
4156,1bjx
4157,1lfc
4172,1bn9
4173,1bm6
4175,1bn0
4177,1bo0
4181,1pfd
4182,1bfy
4184,1eh2
4186,1blr
4187,1skp
4188,1bci
4189,1giw
4190,1big
4191,2bmt
4192,1bde
4195,2btx
4197,2cps
4198,1br0
4199,3nla
4200,1a93
4201,1a3p
4202,1ba9
4202,1rk7
4204,1bqt
4205,1bqv
4206,1mfn
4207,2orc
4208,2dvh
4209,2cpb
4210,1ba5
4211,1bbg
4212,1bcv
4213,1bfw
4214,2tmp
4215,1ssn
4216,1bhi
4217,1bhu
4218,1cn2
4219,1bku
4220,1bmx
4221,1bm4
4222,1mnl
4223,1tba
4224,1myo
4225,3grx
4226,1ldz
4227,1bqz
4228,1bq0
4229,1bqx
4230,1buq
4231,1bwe
4232,1zac
4235,1bwt
4241,2xbd
4242,3msp
4243,1c11
4244,1bx5
4246,1bxj
4248,2lef
4249,1xpa
4250,3php
4254,1l3g
4255,2if1
4257,1vpc
4257,1x9v
4260,1byv
4261,1bzb
4262,1bzf
4263,2nmb
4264,3eza
4264,1vrc
4265,1ds9
4265,1m9l
4268,1bd6
4269,1ght
4269,1hx7
4271,1jfj
4271,1jfk
4276,1b2i
4285,1k2h
4292,1b1v
4299,2f63
4300,2f65
4310,1l2v
4310,1l1x
4312,1jm4
4334,1kqq
4342,1ly7
4347,1qp6
4351,1qgm
4361,1cqb
4362,1cqb
4372,1c32
4372,1c34
4373,1fho
4385,1d5k
4386,1ezy
4387,8tfv
4391,1jgk
4392,1b0s
4392,1cyz
4394,2ife
4395,1b75
4396,1cou
4397,1b2t
4398,1qfa
4399,1cnl
4400,1b4y
4405,1khm
4406,1qfb
4407,1cmz
4409,1qkg
4412,1ql5
4413,1cok
4414,1b3i
4415,1ttd
4416,1coc
4417,1b6f
4418,1ccq
4419,1cb9
4420,1im1
4422,1ccv
4424,1qhk
4425,3bdo
4426,2bdo
4427,1qky
4428,1qqv
4429,1rqu
4429,1rqv
4430,2cnp
4430,1jwd
4431,1ckv
4437,1cej
4445,1d8b
4447,1h7y
4447,1h6q
4448,1f3y
4452,2afp
4455,1ci5
4461,1df6
4467,1ub1
4473,1r2a
4473,1l6e
4475,1cr8
4476,1b4g
4477,1b4i
4478,1b4r
4481,1b9p
4483,1cb3
4486,2mob
4487,1ce3
4488,1cfl
4490,1qfd
4491,1qjt
4492,1jba
4493,1ud7
4494,3lri
4496,1om2
4497,7hsc
4498,1cl4
4500,1cnn
4503,1qmw
4506,1cw5
4507,1cw6
4509,1cxr
4510,1cxw
4514,1d2l
4516,1d5g
4519,1d7q
4522,1d8v
4524,1daq
4526,1dc2
4527,1dc7
4528,1dc8
4536,1dgo
4540,1qtg
4540,1nla
4541,1quz
4542,1qe7
4547,1c2q
4551,1cqu
4552,1g8c
4553,1dgq
4557,1qlo
4566,1l6u
4566,1l6v
4570,1b4o
4574,1d4b
4577,1c05
4579,1hyj
4579,1hyi
4581,1d1o
4583,1doq
4584,1dp3
4585,1du9
4587,1ed0
4588,1ed7
4589,1ehx
4590,1eig
4590,1eih
4591,1ejp
4592,1ejq
4593,1eoq
4595,1ckw
4596,1ckx
4597,1cky
4598,1ckz
4599,7hsc
4600,1cl4
4601,1dlz
4602,1do9
4603,1dv5
4604,1ee7
4607,1eqx
4609,1emq
4610,1evm
4612,1evo
4614,1f5g
4615,1dkc
4616,1dx7
4617,1dxw
4618,1dxn
4619,1e0e
4620,1e1u
4621,1e4u
4622,1e52
4623,1e5c
4628,1g9e
4630,1dqb
4631,1du1
4632,1f16
4633,1fuw
4634,1fyj
4635,1g1e
4635,1s5r
4635,1s5q
4636,1f2h
4637,1f43
4638,1fa3
4639,1fex
4640,1fjn
4641,1fo7
4642,1fqq
4643,1fry
4644,1fv5
4645,1fwo
4647,1fyy
4648,1fzt
4649,1g03
4650,1g04
4651,1fdf
4652,1edx
4653,1edw
4654,1edv
4655,1eds
4656,1g26
4661,1c15
4663,1c3t
4664,1jzu
4666,1dcz
4666,1dd2
4667,1dey
4668,1ix5
4669,1cwx
4677,1exk
4679,1fm1
4679,1fls
4682,1eii
4688,1ily
4692,1el2
4697,1d1n
4700,1cf4
4701,1d9s
4706,1cx1
4716,1n4c
4717,1f7w
4717,1f7x
4721,1d8j
4725,1hzr
4725,1j5m
4735,1jyt
4738,1fa4
4738,1faf
4740,1gh9
4743,1ehj
4743,1lm2
4745,1k8s
4751,1ivm
4752,1j9i
4754,1hzq
4754,1j5l
4757,1dv0
4759,1qpu
4760,1c49
4771,1s62
4775,1duj
4776,1qxn
4778,1fi6
4779,1plo
4780,1f6u
4781,1f6u
4791,1jr6
4792,2an7
4797,1kd6
4798,1fpw
4799,1fio
4814,1ls4
4815,1ffj
4816,1jo7
4825,1m58
4829,1jxs
4833,1g6e
4837,1e8e
4838,1l4w
4838,1ljz
4841,1e91
4845,1e74
4846,1e75
4847,1e76
4850,1fov
4862,1fvn
4862,1f8p
4869,1lwm
4872,1fmh
4876,1qqy
4879,1ija
4880,1h67
4883,1qqy
4884,1g47
4887,1qqy
4890,1g25
4891,1g6m
4892,1m31
4893,1kvz
4894,1ekz
4895,1g6p
4899,1g5v
4900,1heh
4900,1hej
4902,1j9d
4902,1rja
4906,1hf9
4907,1fjp
4909,1a3k
4911,1f96
4912,1f3c
4914,1hfg
4914,1hfn
4914,1hff
4915,1g9l
4916,1gea
4917,1bv2
4919,1g7e
4920,1g7d
4923,1g9p
4924,1hp2
4925,1eyf
4927,1n02
4929,1xdx
4930,1ps2
4933,1ps2
4935,1kvv
4935,1kvn
4938,1i17
4939,1fu9
4941,1jjr
4943,1lks
4945,1hs7
4946,1hzk
4947,1hzl
4948,1hoy
4950,1qa4
4951,1qa5
4954,1hze
4954,1i18
4957,1i1s
4959,1inz
4960,1fi3
4966,1i02
4972,1k1c
4977,1n89
4979,1ha8
4980,1qwq
4984,1kos
4986,1omp
4987,3mbp
4988,1i25
4989,1hy8
4991,1ilo
4993,1ih9
4994,1ih0
4995,1ihq
4996,1iio
4997,1jco
5004,1ik0
5007,1hwq
5007,1j6q
5010,1jaj
5012,1j7m
5018,1ich
5020,1i98
5021,1i8e
5022,1i4v
5023,1i4c
5024,1idl
5025,1idh
5026,1i5t
5026,1m60
5027,1j8k
5028,1ib9
5030,1tuj
5031,1m2e
5031,1m2f
5033,1i2u
5033,1i2v
5034,1hu7
5034,1hu6
5036,1i11
5037,1hu5
5038,1jas
5041,1in1
5041,1imo
5042,1j8i
5042,1j9o
5043,1h9f
5044,1ie5
5047,1jbi
5048,1jbh
5049,1n6u
5049,1n6v
5050,1jc6
5051,1jcu
5052,1je9
5053,1ifw
5054,1jkn
5055,1imu
5058,1qot
5059,1je3
5060,1jdq
5062,1g6l
5065,1ibi
5066,1ji9
5070,1jh3
5071,1jc2
5072,1jbj
5073,1je4
5074,1jei
5075,1jfn
5077,1jjg
5078,1k8o
5078,1k8m
5082,1jlz
5083,1jjj
5084,1jh4
5085,1jgn
5086,1ayg
5091,1jex
5092,1jo6
5094,1jjl
5094,1k19
5096,1jn7
5097,1ijc
5100,1j2o
5101,1gjz
5102,1kdd
5104,1jrm
5106,1jsb
5106,1ryj
5108,1jaa
5109,1j9v
5110,1j8z
5111,1j8n
5112,1jlp
5113,1jlo
5114,1jjz
5114,1k48
5116,1ji8
5117,1jyp
5120,1gk5
5122,1jwe
5129,1iqs
5129,1iqo
5130,1iy4
5131,1gm1
5134,1js7
5134,1js5
5135,1jrw
5135,1jrv
5136,1jdk
5137,1jd8
5138,1jcp
5139,1jc8
5140,1jar
5141,1t4z
5141,1t4y
5142,1iy3
5145,1lg4
3322,1e8p
3322,1e8q
5147,1jjd
5148,1jq4
5151,1fd6
5152,1fcl
5153,1uea
5154,1d2b
5155,1jru
5157,1k16
5157,1j5b
5160,1hg6
5162,1mp1
5164,1juu
5165,1jw3
5166,1jw2
5167,1jve
5168,1jyg
5168,1ryk
5169,1jnj
5170,1ju7
5170,1jwc
5171,1jv9
5171,1jv8
5172,1k3g
5172,1k3h
5173,1k36
5173,1k37
5174,1irz
5175,1k5o
5176,1ha9
5177,1tvj
5178,1k85
5179,1k1z
5180,1hbw
5181,1k45
5181,1k42
5183,1k09
5184,1lgl
5184,1j5j
5185,1kat
5187,1v4r
5188,1irr
5189,1nsh
5192,1k8v
5193,1jzc
5194,1k5w
5196,1jzp
5199,1kg1
5201,1i6y
5202,1n4t
5203,1kbe
5203,1kbf
5204,1k9c
5205,1k91
5206,1uwo
5207,1kcy
5208,1bpx
5208,1bnp
5208,1bpb
5208,1bpd
5208,1bpe
5210,1k7b
5211,1ka7
5212,1ka6
5213,1k0v
5214,1d0w
5217,1kft
5220,1k0x
5222,1ezk
5225,1jns
5225,1jnt
5232,1kxl
5236,1kn7
5237,1vie
5238,1vgh
5238,2vgh
5238,1kmx
5239,2cth
5240,1qum
5241,1qum
5241,1rqm
5242,1kn6
5243,1ir5
5244,2end
5244,1vas
5245,1k1r
5246,1kmf
5249,1dxg
5252,1kkv
5253,1kkw
5254,1krk
5255,1wkt
5256,1kka
5257,1hj0
5260,1dxg
5261,1ktu
5261,1j57
5262,1ks0
5262,1ck7
5264,1kj6
5265,1kv4
5266,1ktm
5268,1cix
5271,1dxg
5273,1kio
5274,1kjo
5275,1kri
5275,1kqr
5276,1kma
5277,1kmr
5278,1kpz
5278,1kpy
5279,1kwj
5279,1l3o
5282,1kr8
5282,1pqt
5283,1kzv
5283,1kzt
5283,1kzs
5284,1kzw
5285,1kzx
5289,1kz0
5290,1kz2
5291,1kz5
5292,1l2y
5293,1bta
5293,1l1k
5294,1k8b
5294,1k81
5297,1l2m
5297,1l5i
5298,1l1p
5299,1klq
5301,1kyj
5302,1kuw
5303,1krx
5303,1krw
5303,1j56
5304,1kx7
5304,1kx2
5305,1pin
5306,1l3e
5308,1m7t
5309,1m3v
5310,2pld
5312,1nee
5315,1l4s
5316,1l6n
5317,1ity
5318,2pld
5319,1jbh
5319,1kgl
5320,1jjx
5323,1l1i
5326,1l6t
5327,1l8c
5329,1l7y
5330,1jbh
5330,1kgl
5331,1jbh
5331,1kgl
5332,1jsa
5332,1la3
5333,1it1
5333,2cdv
5334,1g03
5335,1lv3
5337,1ayf
5337,1cje
5338,1l3y
5339,1k2k
5340,2bid
5345,1l1m
5346,1laz
5346,1l3x
5347,1hrh
5347,1lku
5348,1iw4
5349,1lfu
5353,1lkj
5354,1ll8
5356,1lq7
5361,1iv6
5363,1lo1
5364,1go5
5365,1z3b
5365,2a3s
5365,2d2w
5366,1kmd
5369,1liq
5370,1lej
5371,1lc6
5372,1lc2
5372,1lc1
5375,1ld6
5376,1lvz
5377,1uwo
5379,1ljv
5381,1ld5
5383,1lv9
5385,1n2w
5386,1lxf
5387,1g6j
5387,1ubq
5387,1d3z
5389,1n3g
5390,1lr1
5391,1lsk
5392,1l8y
5392,1l8z
5395,1lmv
5396,1lud
5398,1lmz
5399,1sxe
5401,1sxd
5403,1gtn
5403,1qaw
5403,1c9s
5403,1gtf
5405,1m25
5407,1lm0
5409,1qm9
5410,1mpz
5454,1lbj
5457,1e91
5457,1pd7
5459,1iym
5461,1lun
5461,1lui
5461,1luk
5461,1lum
5462,1gaj
5463,1lv4
5464,1m36
5465,1m12
5465,1sn6
5466,1lms
5467,1ri9
5469,1iy5
5470,1iy6
5471,1d8c
5472,1m8b
5472,1m8c
5473,1m8b
5473,1m8c
5474,2hnp
5475,1m9w
5480,1cfc
5480,1ctr
5480,1cll
5480,1lin
5480,1cm1
5480,1cm4
5480,1mux
5480,1ckk
5480,1a29
5480,1qiv
5480,1qiw
5480,1cff
5480,1dmo
5480,1cdl
5481,1m94
5482,1mjd
5483,1iya
5485,1go0
5486,1ma6
5486,1ma2
5486,1ma4
5486,1ma5
5487,1ma6
5487,1ma2
5487,1ma4
5487,1ma5
5488,1ma6
5488,1ma2
5488,1ma4
5488,1ma5
5489,1ma6
5489,1ma2
5489,1ma4
5489,1ma5
5491,1iyc
5494,1m02
5495,1lmm
5498,1k4u
5499,1m5z
5500,1iyf
5501,1m4f
5502,1m4e
5503,1m39
5506,1nwv
5513,1mms
5514,1b9c
5516,1f5w
5516,1rsf
5517,1a5j
5525,1m9o
5527,1mb6
5528,1m82
5529,1m9g
5531,1luu
5532,1m4p
5532,1m4q
5535,1msz
5536,1rkn
5537,1h40
5538,1h3z
5540,5fx2
5542,1omq
5544,1qlk
5544,1mwn
5544,1b4c
5544,1dt7
5545,1rmj
5547,1dki
5551,1h0z
5552,1m3g
5553,1mfy
5554,1mke
5555,1mm2
5556,1mm3
5557,1mm4
5557,1mm5
5558,1h5p
5559,1mjf
5560,1rdu
5561,1o6x
5562,1n1k
5564,1mzk
5565,1xhh
5566,1n3h
5567,1n3j
5570,1q27
5571,5fx2
5574,1myu
5575,1mxq
5577,1mo7
5578,1mx8
5579,1mx7
5580,1mqz
5581,1mqx
5582,1mqy
5583,1l3h
5585,1mtq
5586,1mv1
5587,1mv2
5588,1mv1
5589,1nxi
5592,1oqj
5596,1n91
5597,1n9c
5598,1ov2
5598,1op1
5599,1n9d
5599,1rw5
5600,1irn
5601,1bq8
5601,1zrp
5604,1mwy
5604,1mwz
5607,1mot
5608,1n3v
5608,1nxn
5609,1n1u
5610,1mv4
5611,1n6t
5612,1n4n
5613,1n09
5614,1muv
5616,1o6w
5617,1mvz
5620,1ne3
5621,1nei
5622,1nho
5627,1nzt
5631,1n7t
5632,1na2
5633,1j0t
5652,1ne5
5653,1j0t
5654,1mpe
5655,1nc0
5660,1akk
5664,1nq4
5667,1n0z
5668,1nku
5669,1nj3
5670,1nbl
5671,1naj
5672,1nh5
5673,1nau
5674,1niy
5675,1nix
5676,1n8m
5677,1ktm
5677,1k04
5677,1k05
5677,1k40
5678,1s7e
5679,1xyf
5681,1n96
5682,1nvh
5683,1nwb
5688,1n5p
5688,1n5h
5690,1nor
5690,1je9
5691,1ny4
5694,1uao
5695,1nyn
5696,1rgw
5698,1nmr
5701,1r9k
5701,1r6e
5702,1axh
5706,1ny9
5708,1o0z
5708,1o53
5710,1oqk
5713,1hjm
5714,1onm
5716,1k8j
5716,1k8n
5716,1k8l
5717,1k8j
5717,1k8n
5717,1k8l
5718,1k8j
5718,1k8n
5718,1k8l
5719,1s79
5720,4ake
5720,1ake
5722,1oqp
5729,1kfz
5729,1k76
5730,1n8c
5735,1nmj
5737,1np9
5738,1npq
5739,1n1n
5742,1on4
5744,1xq8
5745,1hko
5746,4ake
5746,1ake
5747,1nvo
5748,1ryu
5750,1osx
5752,1aox
5753,1ng7
5754,1egx
5757,1mu4
5757,1k1c
5758,1ovq
5761,1gyu
5764,1no8
5765,1iwo
5765,1eul
5766,1nzp
5767,1orl
5768,1oq6
5769,1oq3
5769,1opz
5770,1nwd
5771,1e9t
5771,1pe3
5773,1n8x
5775,1ntq
5776,1nts
5777,1ntt
5779,1nnv
5780,1ucp
5781,1oo7
5785,1oo9
5786,1op4
5787,1z5f
5789,1abj
5790,1nwb
5791,1osl
5792,1ew4
5796,1pa4
5801,1p9j
5807,1vd0
5808,1pd7
5813,1p6t
5815,1nh4
5817,1pb5
5818,1p9k
5820,1pjz
5821,1fgu
5821,1jmc
5822,1fgu
5822,1jmc
5823,1fgu
5823,1jmc
5824,1q6a
5824,1q6b
5833,1r3b
5834,1pjy
5836,1poq
5839,1igd
5839,2igd
5839,2igh
5843,1q53
5844,1pqx
5845,1r57
5848,1ugl
5849,1ufm
5851,1p7a
5852,1ow9
5856,1ird
5859,1pp5
5860,1pxq
5861,1rfl
5864,1p9f
5866,1ppx
5869,1pqr
5870,1ugt
5873,1p6r
5874,1jru
5874,1vaz
5875,1q1o
5876,1jru
5876,1v92
5877,1pjf
5877,1zn5
5878,1ssf
5879,1q5f
5885,1pzq
5885,1pzr
5891,1xsx
5892,2a2y
5899,1pux
5900,1ppq
5901,1pxe
5902,1khc
5902,1h3z
5902,1ri0
5907,1rw2
5908,1c8c
5908,1ca5
5908,1ca6
5908,1sap
5908,1azp
5908,1azq
5909,1bnz
5909,1c8c
5909,1ca5
5909,1ca6
5909,1jic
5909,1sso
5909,1b40
5909,1bbx
5909,1bf4
5911,1q2i
5911,1q2f
5912,1q2z
5913,1pe4
5914,1plx
5915,1plw
5917,1q8k
5918,1ril
5919,1mnx
5920,1umq
5922,1ujl
5924,1qvx
5926,1m2y
5926,1rwd
5927,1pqq
5928,1vdy
5928,2dcp
5929,1vee
5929,2dcq
5930,1ass
5931,1hrh
5932,1q75
5934,1q7o
5935,1fbt
5935,1tip
5935,1bif
5936,1e0r
5937,1q7x
5938,1qxq
5938,1qx9
5938,1g89
5940,2arw
5944,1q68
5945,1q69
5947,1rxl
5958,1v49
5962,1r2p
5963,2apn
5964,1unc
5965,1unc
5966,1und
5967,1q9p
5968,1qzp
5970,1ovy
5971,1yzo
5971,1z66
5972,1r48
5974,2aic
5975,1r2u
5975,1r6p
5977,1r73
5985,1ul2
5986,1v28
5987,1r8u
5992,2a4j
5994,1r02
5994,1wso
5995,1i04
5996,1i04
5999,1upo
6001,1xwe
6004,1q8g
6006,1v46
6007,1tn3
6007,1rjh
6008,1tn3
6009,1rde
6011,1rjj
6012,1rl1
6015,2avg
6017,1v4z
6018,1v50
6019,1h0x
6022,1q8l
6024,1erq
6024,1ero
6024,1erm
6027,1r9i
6028,1rq6
6029,1svj
6029,1u7q
6029,2a29
6030,1x6k
6030,2a29
6034,1b9k
6034,1qts
6038,1rjt
6042,1rfr
6043,3paz
6044,1s7a
6046,1s6n
6047,1s6l
6049,1rk9
6052,1sgo
6053,1adn
6054,1adn
6056,1rkl
6057,1uec
6058,1rzw
6061,1emv
6062,1s34
6062,1s2f
6064,1rik
6066,1ryv
6067,1ryg
6068,1ruu
6068,1ru5
6069,1ry3
6070,1v6r
6072,1v66
6074,1h70
6075,1z2e
6075,1z2d
6076,1r7w
6077,1r7z
6078,1dpj
6082,1s6d
6083,1s4t
6084,1sq8
6088,1rij
6093,1poz
6095,1sb0
6096,1rhw
6101,1s1o
6105,1s4a
6106,1s4j
6107,1s4h
6108,1rrz
6110,1uuc
6120,1t17
6122,1slj
6122,1smx
6123,1hev
6123,1q9b
6123,1t0w
6126,1ry4
6128,1se9
6129,1s6u
6130,1s6o
6134,1sa8
6135,1rmk
6138,1sv7
6138,1t0g
6139,1ss3
6151,1smz
6152,1sj6
6154,1vd9
6155,1vda
6156,1vdb
6156,1vd7
6157,1vd8
6159,2b1o
6160,1ssu
6165,1ssl
6167,1snl
6172,1sb6
6176,1t0y
6177,1sjr
6178,1sjq
6185,1rzs
6186,1sy8
6187,1sf0
6189,1ss6
6190,1sp0
6190,1so9
6191,1sx1
6191,1sx0
6192,1axh
6194,1axh
6200,1sp7
6203,1t1p
6204,1t1k
6211,1tdp
6227,1bta
6230,1hco
6231,1uv0
6236,1tkn
6238,1tot
6243,4azu
6244,1tm9
6246,1t5m
6248,1ttv
6260,1u0i
6262,1tk7
6269,1u3m
6281,1kil
6282,1u5l
6287,1sxd
6289,1tm6
6290,1t2y
6301,1u2u
6307,1u64
6335,1xjh
6337,1xo3
6339,1xo8
6340,1xo9
6341,1xoy
6343,1xpn
6344,1xpw
6357,1erq
6357,1ero
6357,1erm
